Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
15654328,3710032,3710032,11944296,438401,408497,142248,6545001,434424,
15652216,3707920,3707920,11944296,438401,408497,142248,6545001,434424,
15645488,3701192,3701192,11944296,438401,408497,142248,6545001,434424,
15647928,3703632,3703632,11944296,438401,408497,142248,6545001,434424,
15650376,3706080,3706080,11944296,438401,408497,142248,6545001,434424,
15652464,3708168,3708168,11944296,438401,408497,142248,6545001,434424,
15656416,3712120,3712120,11944296,438401,408497,142248,6545001,434424,
15656416,3712120,3712120,11944296,438401,408497,142248,6545001,434424,
15656528,3712120,3712120,11944408,438401,408497,142248,6545001,434424,
15647112,3702704,3702704,11944408,438401,408497,142248,6545001,434424,
15648624,3704216,3704216,11944408,438401,408497,142248,6545001,434424,
15651064,3706656,3706656,11944408,438401,408497,142248,6545001,434424,
15653512,3709104,3709104,11944408,438401,408497,142248,6545001,434424,
15653512,3709104,3709104,11944408,438401,408497,142248,6545001,434424,
15657464,3713056,3713056,11944408,438401,408497,142248,6545001,434424,
15657464,3713056,3713056,11944408,438401,408497,142248,6545001,434424,
15657464,3713056,3713056,11944408,438401,408497,142248,6545001,434424,
15649560,3705152,3705152,11944408,438401,408497,142248,6545001,434424,
15651064,3706656,3706656,11944408,438401,408497,142248,6545001,434424,
15653512,3709104,3709104,11944408,438401,408497,142248,6545001,434424,
15652904,3708496,3708496,11944408,438401,408497,142248,6545001,434424,
15658856,3714560,3714560,11944296,438401,408497,142248,6545001,434424,
15658856,3714560,3714560,11944296,438401,408497,142248,6545001,434424,
15649552,3705144,3705144,11944408,438401,408497,142248,6545001,434424,
15652568,3708160,3708160,11944408,438401,408497,142248,6545001,434424,
15658968,3714560,3714560,11944408,438401,408497,142248,6545001,434424,
15658968,3714560,3714560,11944408,438401,408497,142248,6545001,434424,
15652568,3708160,3708160,11944408,438401,408497,142248,6545001,434424,
15655952,3711544,3711544,11944408,438401,408497,142248,6545001,434424,
15649552,3705144,3705144,11944408,438401,408497,142248,6545001,434424,
15643760,3699320,3699320,11944440,438401,408497,142248,6545001,434424,
15646208,3701768,3701768,11944440,438401,408497,142248,6545001,434424,
15650160,3705720,3705720,11944440,438401,408497,142248,6545001,434424,
15642256,3697816,3697816,11944440,438401,408497,142248,6545001,434424,
15647144,3702704,3702704,11944440,438401,408497,142248,6545001,434424,
15651096,3706656,3706656,11944440,438401,408497,142248,6545001,434424,
15643528,3699088,3699088,11944440,438401,408497,142248,6545001,434424,
15649592,3705152,3705152,11944440,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15644232,3699784,3699688,11944448,438401,408497,142248,6545001,434424,
15649568,3705152,3705152,11944416,438401,408497,142248,6545001,434424,
15653520,3709104,3709104,11944416,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15647032,3702704,3702704,11944328,438401,408497,142248,6545001,434424,
15653408,3709104,3709104,11944304,438401,408497,142248,6545001,434424,
15653408,3709104,3709104,11944304,438401,408497,142248,6545001,434424,
15647032,3702704,3702704,11944328,438401,408497,142248,6545001,434424,
15649480,3705152,3705152,11944328,438401,408497,142248,6545001,434424,
15653408,3709104,3709104,11944304,438401,408497,142248,6545001,434424,
15645504,3701200,3701200,11944304,438401,408497,142248,6545001,434424,
15649480,3705152,3705152,11944328,438401,408497,142248,6545001,434424,
15653432,3709104,3709104,11944328,438401,408497,142248,6545001,434424,
15645504,3701200,3701200,11944304,438401,408497,142248,6545001,434424,
15649456,3705152,3705152,11944304,438401,408497,142248,6545001,434424,
15653432,3709104,3709104,11944328,438401,408497,142248,6545001,434424,
15644704,3700264,3700264,11944440,438401,408497,142248,6545001,434424,
15649568,3705152,3705152,11944416,438401,408497,142248,6545001,434424,
15653520,3709104,3709104,11944416,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15647144,3702704,3702704,11944440,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15648984,3704544,3704544,11944440,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15657496,3713056,3713056,11944440,438401,408497,142248,6545001,434424,
15649480,3705152,3705152,11944328,438401,408497,142248,6545001,434424,
15653432,3709104,3709104,11944328,438401,408497,142248,6545001,434424,
15657384,3713056,3713056,11944328,438401,408497,142248,6545001,434424,
15649480,3705152,3705152,11944328,438401,408497,142248,6545001,434424,
15653432,3709104,3709104,11944328,438401,408497,142248,6545001,434424,
15657384,3713056,3713056,11944328,438401,408497,142248,6545001,434424,
15648544,3704216,3704216,11944328,438401,408497,142248,6545001,434424,
15653432,3709104,3709104,11944328,438401,408497,142248,6545001,434424,
15657384,3713056,3713056,11944328,438401,408497,142248,6545001,434424,
15657384,3713056,3713056,11944328,438401,408497,142248,6545001,434424,
15650984,3706656,3706656,11944328,438401,408497,142248,6545001,434424,
15657384,3713056,3713056,11944328,438401,408497,142248,6545001,434424,
15657384,3713056,3713056,11944328,438401,408497,142248,6545001,434424,
15651096,3706656,3706656,11944440,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15657496,3713056,3713056,11944440,438401,408497,142248,6545001,434424,
15649592,3705152,3705152,11944440,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15657496,3713056,3713056,11944440,438401,408497,142248,6545001,434424,
15649592,3705152,3705152,11944440,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15657496,3713056,3713056,11944440,438401,408497,142248,6545001,434424,
15648544,3704216,3704216,11944328,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15657496,3713056,3713056,11944440,438401,408497,142248,6545001,434424,
15657496,3713056,3713056,11944440,438401,408497,142248,6545001,434424,
15651096,3706656,3706656,11944440,438401,408497,142248,6545001,434424,
15657496,3713056,3713056,11944440,438401,408497,142248,6545001,434424,
15657496,3713056,3713056,11944440,438401,408497,142248,6545001,434424,
15651096,3706656,3706656,11944440,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15657496,3713056,3713056,11944440,438401,408497,142248,6545001,434424,
15649592,3705152,3705152,11944440,438401,408497,142248,6545001,434424,
15653432,3709104,3709104,11944328,438401,408497,142248,6545001,434424,
15657384,3713056,3713056,11944328,438401,408497,142248,6545001,434424,
15649480,3705152,3705152,11944328,438401,408497,142248,6545001,434424,
15653432,3709104,3709104,11944328,438401,408497,142248,6545001,434424,
15657384,3713056,3713056,11944328,438401,408497,142248,6545001,434424,
15648544,3704216,3704216,11944328,438401,408497,142248,6545001,434424,
15653432,3709104,3709104,11944328,438401,408497,142248,6545001,434424,
15647968,3703640,3703640,11944328,438401,408497,142248,6545001,434424,
15648080,3703640,3703640,11944440,438401,408497,142248,6545001,434424,
15641704,3697264,3697264,11944440,438401,408497,142248,6545001,434424,
15646544,3702104,3702104,11944440,438401,408497,142248,6545001,434424,
15648544,3704216,3704216,11944328,438401,408497,142248,6545001,434424,
15642280,3697840,3697840,11944440,438401,408497,142248,6545001,434424,
15644704,3700264,3700264,11944440,438401,408497,142248,6545001,434424,
15648656,3704216,3704216,11944440,438401,408497,142248,6545001,434424,
15640752,3696312,3696312,11944440,438401,408497,142248,6545001,434424,
15645640,3701200,3701200,11944440,438401,408497,142248,6545001,434424,
15649592,3705152,3705152,11944440,438401,408497,142248,6545001,434424,
15641688,3697248,3697248,11944440,438401,408497,142248,6545001,434424,
15645640,3701200,3701200,11944440,438401,408497,142248,6545001,434424,
15649592,3705152,3705152,11944440,438401,408497,142248,6545001,434424,
15640752,3696312,3696312,11944440,438401,408497,142248,6545001,434424,
15645504,3701200,3701200,11944304,438401,408497,142248,6545001,434424,
15649456,3705152,3705152,11944304,438401,408497,142248,6545001,434424,
15649480,3705152,3705152,11944328,438401,408497,142248,6545001,434424,
15642472,3698144,3698144,11944328,438401,408497,142248,6545001,434424,
15650960,3706656,3706656,11944304,438401,408497,142248,6545001,434424,
15650960,3706656,3706656,11944304,438401,408497,142248,6545001,434424,
15644696,3700256,3700256,11944440,438401,408497,142248,6545001,434424,
15647144,3702704,3702704,11944440,438401,408497,142248,6545001,434424,
15651072,3706656,3706656,11944416,438401,408497,142248,6545001,434424,
15643168,3698752,3698752,11944416,438401,408497,142248,6545001,434424,
15647144,3702704,3702704,11944440,438401,408497,142248,6545001,434424,
15650984,3706656,3706656,11944328,438401,408497,142248,6545001,434424,
15643056,3698752,3698752,11944304,438401,408497,142248,6545001,434424,
15647008,3702704,3702704,11944304,438401,408497,142248,6545001,434424,
15650984,3706656,3706656,11944328,438401,408497,142248,6545001,434424,
15642256,3697816,3697816,11944440,438401,408497,142248,6545001,434424,
15647120,3702704,3702704,11944416,438401,408497,142248,6545001,434424,
15651072,3706656,3706656,11944416,438401,408497,142248,6545001,434424,
15651096,3706656,3706656,11944440,438401,408497,142248,6545001,434424,
15645032,3700592,3700592,11944440,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15647032,3702704,3702704,11944328,438401,408497,142248,6545001,434424,
15649480,3705152,3705152,11944328,438401,408497,142248,6545001,434424,
15653432,3709104,3709104,11944328,438401,408497,142248,6545001,434424,
15645528,3701200,3701200,11944328,438401,408497,142248,6545001,434424,
15649480,3705152,3705152,11944328,438401,408497,142248,6545001,434424,
15653432,3709104,3709104,11944328,438401,408497,142248,6545001,434424,
15645528,3701200,3701200,11944328,438401,408497,142248,6545001,434424,
15649480,3705152,3705152,11944328,438401,408497,142248,6545001,434424,
15653432,3709104,3709104,11944328,438401,408497,142248,6545001,434424,
15644592,3700264,3700264,11944328,438401,408497,142248,6545001,434424,
15649480,3705152,3705152,11944328,438401,408497,142248,6545001,434424,
15653432,3709104,3709104,11944328,438401,408497,142248,6545001,434424,
15653432,3709104,3709104,11944328,438401,408497,142248,6545001,434424,
15647144,3702704,3702704,11944440,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
15647144,3702704,3702704,11944440,438401,408497,142248,6545001,434424,
15649592,3705152,3705152,11944440,438401,408497,142248,6545001,434424,
15653544,3709104,3709104,11944440,438401,408497,142248,6545001,434424,
